Path,Line Coverage,Function Coverage,Region Coverage
src/openssl/crypto/asn1/bio_ndef.c,0.00% (0/104),0.00% (0/5),0.00% (0/64)
src/openssl/crypto/asn1/d2i_pr.c,0.00% (0/83),0.00% (0/2),0.00% (0/99)
src/openssl/crypto/asn1/evp_asn1.c,0.00% (0/102),0.00% (0/4),0.00% (0/92)
src/openssl/crypto/asn1/f_int.c,0.00% (0/131),0.00% (0/2),0.00% (0/129)
src/openssl/crypto/asn1/f_string.c,0.00% (0/125),0.00% (0/2),0.00% (0/118)
src/openssl/crypto/asn1/i2d_pr.c,0.00% (0/16),0.00% (0/1),0.00% (0/17)
src/openssl/crypto/asn1/nsseq.c,0.00% (0/8),0.00% (0/1),0.00% (0/5)
src/openssl/crypto/asn1/p5_pbe.c,0.00% (0/53),0.00% (0/2),0.00% (0/51)
src/openssl/crypto/asn1/p5_pbev2.c,0.00% (0/121),0.00% (0/3),0.00% (0/123)
src/openssl/crypto/asn1/p8_pkey.c,0.00% (0/59),0.00% (0/3),0.00% (0/55)
src/openssl/crypto/asn1/t_pkey.c,0.00% (0/43),0.00% (0/1),0.00% (0/49)
src/openssl/crypto/asn1/t_x509.c,0.00% (0/394),0.00% (0/12),0.00% (0/424)
src/openssl/crypto/asn1/t_x509a.c,0.00% (0/45),0.00% (0/1),0.00% (0/49)
src/openssl/crypto/asn1/tasn_dec.c,0.00% (0/812),0.00% (0/13),0.00% (0/816)
src/openssl/crypto/asn1/tasn_enc.c,0.00% (0/401),0.00% (0/10),0.00% (0/445)
src/openssl/crypto/asn1/tasn_fre.c,0.00% (0/152),0.00% (0/5),0.00% (0/144)
src/openssl/crypto/asn1/tasn_new.c,0.00% (0/229),0.00% (0/8),0.00% (0/220)
src/openssl/crypto/asn1/tasn_prn.c,0.00% (0/392),0.00% (0/21),0.00% (0/379)
src/openssl/crypto/asn1/tasn_utl.c,0.00% (0/122),0.00% (0/10),0.00% (0/100)
src/openssl/crypto/asn1/x_algor.c,0.00% (0/55),0.00% (0/4),0.00% (0/53)
src/openssl/crypto/asn1/x_attrib.c,0.00% (0/22),0.00% (0/1),0.00% (0/27)
src/openssl/crypto/asn1/x_bignum.c,0.00% (0/51),0.00% (0/5),0.00% (0/40)
src/openssl/crypto/asn1/x_crl.c,0.00% (0/279),0.00% (0/17),0.00% (0/332)
src/openssl/crypto/asn1/x_info.c,0.00% (0/33),0.00% (0/2),0.00% (0/24)
src/openssl/crypto/asn1/x_long.c,0.00% (0/89),0.00% (0/5),0.00% (0/55)
src/openssl/crypto/asn1/x_name.c,0.00% (0/294),0.00% (0/12),0.00% (0/386)
src/openssl/crypto/asn1/x_pkey.c,0.00% (0/76),0.00% (0/4),0.00% (0/101)
src/openssl/crypto/asn1/x_pubkey.c,0.00% (0/235),0.00% (0/13),0.00% (0/166)
src/openssl/crypto/asn1/x_req.c,0.00% (0/9),0.00% (0/1),0.00% (0/9)
src/openssl/crypto/asn1/x_x509.c,0.00% (0/114),0.00% (0/10),0.00% (0/76)
src/openssl/crypto/asn1/x_x509a.c,0.00% (0/88),0.00% (0/9),0.00% (0/134)
src/openssl/crypto/bf/bf_cfb64.c,0.00% (0/52),0.00% (0/1),0.00% (0/21)
src/openssl/crypto/bf/bf_ecb.c,0.00% (0/20),0.00% (0/2),0.00% (0/10)
src/openssl/crypto/bf/bf_enc.c,0.00% (0/129),0.00% (0/3),0.00% (0/94)
src/openssl/crypto/bf/bf_ofb64.c,0.00% (0/40),0.00% (0/1),0.00% (0/16)
src/openssl/crypto/bf/bf_skey.c,0.00% (0/42),0.00% (0/1),0.00% (0/25)
src/openssl/crypto/bio/b_dump.c,0.00% (0/97),0.00% (0/9),0.00% (0/68)
src/openssl/crypto/bio/b_print.c,0.00% (0/572),0.00% (0/12),0.00% (0/473)
src/openssl/crypto/bio/b_sock.c,0.00% (0/371),0.00% (0/11),0.00% (0/266)
src/openssl/crypto/bio/bf_buff.c,0.00% (0/365),0.00% (0/9),0.00% (0/302)
src/openssl/crypto/bio/bio_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/bio/bio_lib.c,0.00% (0/369),0.00% (0/38),0.00% (0/312)
src/openssl/crypto/bio/bss_conn.c,0.00% (0/412),0.00% (0/13),0.00% (0/323)
src/openssl/crypto/bio/bss_file.c,9.77% (21/215),18.18% (2/11),5.70% (11/193)
src/openssl/crypto/bio/bss_mem.c,0.00% (0/186),0.00% (0/9),0.00% (0/140)
src/openssl/crypto/bio/bss_null.c,0.00% (0/50),0.00% (0/8),0.00% (0/38)
src/openssl/crypto/bio/bss_sock.c,0.00% (0/132),0.00% (0/10),0.00% (0/88)
src/openssl/crypto/bn/asm/x86_64-gcc.c,0.00% (0/354),0.00% (0/10),0.00% (0/659)
src/openssl/crypto/bn/bn_add.c,0.00% (0/184),0.00% (0/4),0.00% (0/132)
src/openssl/crypto/bn/bn_blind.c,0.00% (0/177),0.00% (0/13),0.00% (0/173)
src/openssl/crypto/bn/bn_ctx.c,0.00% (0/172),0.00% (0/16),0.00% (0/110)
src/openssl/crypto/bn/bn_div.c,0.00% (0/157),0.00% (0/1),0.00% (0/186)
src/openssl/crypto/bn/bn_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/bn/bn_exp.c,0.00% (0/813),0.00% (0/9),0.00% (0/895)
src/openssl/crypto/bn/bn_exp2.c,0.00% (0/148),0.00% (0/1),0.00% (0/170)
src/openssl/crypto/bn/bn_gcd.c,0.00% (0/338),0.00% (0/4),0.00% (0/387)
src/openssl/crypto/bn/bn_gf2m.c,0.00% (0/592),0.00% (0/19),0.00% (0/551)
src/openssl/crypto/bn/bn_kron.c,0.00% (0/74),0.00% (0/1),0.00% (0/93)
src/openssl/crypto/bn/bn_lib.c,0.00% (0/585),0.00% (0/30),0.00% (0/463)
src/openssl/crypto/bn/bn_mod.c,0.00% (0/122),0.00% (0/11),0.00% (0/108)
src/openssl/crypto/bn/bn_mont.c,0.00% (0/232),0.00% (0/9),0.00% (0/210)
src/openssl/crypto/bn/bn_mul.c,0.00% (0/745),0.00% (0/9),0.00% (0/514)
src/openssl/crypto/bn/bn_nist.c,0.00% (0/571),0.00% (0/12),0.00% (0/944)
src/openssl/crypto/bn/bn_prime.c,0.00% (0/274),0.00% (0/8),0.00% (0/352)
src/openssl/crypto/bn/bn_print.c,0.00% (0/259),0.00% (0/8),0.00% (0/278)
src/openssl/crypto/bn/bn_rand.c,0.00% (0/127),0.00% (0/7),0.00% (0/118)
src/openssl/crypto/bn/bn_recp.c,0.00% (0/138),0.00% (0/7),0.00% (0/110)
src/openssl/crypto/bn/bn_shift.c,0.00% (0/140),0.00% (0/4),0.00% (0/132)
src/openssl/crypto/bn/bn_sqr.c,0.00% (0/135),0.00% (0/3),0.00% (0/90)
src/openssl/crypto/bn/bn_sqrt.c,0.00% (0/207),0.00% (0/1),0.00% (0/297)
src/openssl/crypto/bn/bn_word.c,0.00% (0/138),0.00% (0/5),0.00% (0/122)
src/openssl/crypto/bn/rsaz_exp.c,0.00% (0/151),0.00% (0/2),0.00% (0/15)
src/openssl/crypto/buffer/buf_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/buffer/buf_str.c,67.92% (36/53),83.33% (5/6),63.27% (31/49)
src/openssl/crypto/buffer/buffer.c,0.00% (0/103),0.00% (0/5),0.00% (0/71)
src/openssl/crypto/camellia/cmll_misc.c,0.00% (0/14),0.00% (0/3),0.00% (0/15)
src/openssl/crypto/camellia/cmll_utl.c,0.00% (0/3),0.00% (0/1),0.00% (0/1)
src/openssl/crypto/cast/c_cfb64.c,0.00% (0/52),0.00% (0/1),0.00% (0/21)
src/openssl/crypto/cast/c_ecb.c,0.00% (0/16),0.00% (0/1),0.00% (0/9)
src/openssl/crypto/cast/c_enc.c,0.00% (0/125),0.00% (0/3),0.00% (0/160)
src/openssl/crypto/cast/c_ofb64.c,0.00% (0/40),0.00% (0/1),0.00% (0/16)
src/openssl/crypto/cast/c_skey.c,0.00% (0/81),0.00% (0/1),0.00% (0/200)
src/openssl/crypto/cmac/cm_ameth.c,0.00% (0/8),0.00% (0/2),0.00% (0/5)
src/openssl/crypto/cmac/cm_pmeth.c,0.00% (0/67),0.00% (0/8),0.00% (0/55)
src/openssl/crypto/cmac/cmac.c,0.00% (0/146),0.00% (0/10),0.00% (0/122)
src/openssl/crypto/cms/cms_asn1.c,0.00% (0/109),0.00% (0/6),0.00% (0/80)
src/openssl/crypto/cms/cms_att.c,0.00% (0/77),0.00% (0/20),0.00% (0/44)
src/openssl/crypto/cms/cms_dd.c,0.00% (0/57),0.00% (0/3),0.00% (0/38)
src/openssl/crypto/cms/cms_enc.c,0.00% (0/159),0.00% (0/4),0.00% (0/149)
src/openssl/crypto/cms/cms_env.c,0.00% (0/650),0.00% (0/28),0.00% (0/608)
src/openssl/crypto/cms/cms_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/cms/cms_io.c,0.00% (0/51),0.00% (0/8),0.00% (0/34)
src/openssl/crypto/cms/cms_kari.c,0.00% (0/306),0.00% (0/14),0.00% (0/299)
src/openssl/crypto/cms/cms_lib.c,0.00% (0/446),0.00% (0/28),0.00% (0/475)
src/openssl/crypto/cms/cms_pwri.c,0.00% (0/257),0.00% (0/5),0.00% (0/216)
src/openssl/crypto/cms/cms_sd.c,0.00% (0/722),0.00% (0/32),0.00% (0/841)
src/openssl/crypto/comp/c_zlib.c,66.67% (4/6),50.00% (1/2),50.00% (1/2)
src/openssl/crypto/comp/comp_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/comp/comp_lib.c,0.00% (0/44),0.00% (0/4),0.00% (0/29)
src/openssl/crypto/conf/conf_api.c,2.24% (3/134),10.00% (1/10),2.29% (5/218)
src/openssl/crypto/conf/conf_def.c,8.18% (39/477),31.58% (6/19),5.11% (25/489)
src/openssl/crypto/conf/conf_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/conf/conf_lib.c,8.00% (16/200),13.64% (3/22),8.53% (11/129)
src/openssl/crypto/conf/conf_mall.c,100.00% (7/7),100.00% (1/1),100.00% (1/1)
src/openssl/crypto/conf/conf_mod.c,18.48% (61/330),16.67% (4/24),15.14% (48/317)
src/openssl/crypto/constant_time_locl.h,0.00% (0/42),0.00% (0/14),0.00% (0/14)
src/openssl/crypto/cpt_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/cryptlib.c,18.03% (55/305),22.22% (8/36),9.76% (28/287)
src/openssl/crypto/cversion.c,0.00% (0/25),0.00% (0/2),0.00% (0/26)
src/openssl/crypto/des/cfb64ede.c,0.00% (0/140),0.00% (0/2),0.00% (0/116)
src/openssl/crypto/des/cfb64enc.c,0.00% (0/52),0.00% (0/1),0.00% (0/23)
src/openssl/crypto/des/cfb_enc.c,0.00% (0/84),0.00% (0/1),0.00% (0/85)
src/openssl/crypto/des/des_enc.c,0.00% (0/220),0.00% (0/5),0.00% (0/374)
src/openssl/crypto/des/ecb3_enc.c,0.00% (0/18),0.00% (0/1),0.00% (0/9)
src/openssl/crypto/des/ecb_enc.c,0.00% (0/37),0.00% (0/2),0.00% (0/12)
src/openssl/crypto/des/ncbc_enc.c,0.00% (0/79),0.00% (0/1),0.00% (0/62)
src/openssl/crypto/des/ofb64ede.c,0.00% (0/38),0.00% (0/1),0.00% (0/16)
src/openssl/crypto/des/ofb64enc.c,0.00% (0/40),0.00% (0/1),0.00% (0/17)
src/openssl/crypto/des/set_key.c,0.00% (0/84),0.00% (0/7),0.00% (0/52)
src/openssl/crypto/des/xcbc_enc.c,0.00% (0/82),0.00% (0/1),0.00% (0/66)
src/openssl/crypto/dh/dh_ameth.c,0.00% (0/625),0.00% (0/29),0.00% (0/595)
src/openssl/crypto/dh/dh_asn1.c,0.00% (0/64),0.00% (0/3),0.00% (0/36)
src/openssl/crypto/dh/dh_check.c,0.00% (0/94),0.00% (0/2),0.00% (0/162)
src/openssl/crypto/dh/dh_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/dh/dh_gen.c,0.00% (0/63),0.00% (0/2),0.00% (0/71)
src/openssl/crypto/dh/dh_kdf.c,0.00% (0/106),0.00% (0/3),0.00% (0/82)
src/openssl/crypto/dh/dh_key.c,1.99% (3/151),11.11% (1/9),0.71% (1/141)
src/openssl/crypto/dh/dh_lib.c,0.00% (0/133),0.00% (0/11),0.00% (0/87)
src/openssl/crypto/dh/dh_pmeth.c,0.00% (0/291),0.00% (0/8),0.00% (0/223)
src/openssl/crypto/dh/dh_rfc5114.c,0.00% (0/18),0.00% (0/1),0.00% (0/17)
src/openssl/crypto/dsa/dsa_ameth.c,0.00% (0/431),0.00% (0/22),0.00% (0/407)
src/openssl/crypto/dsa/dsa_asn1.c,0.00% (0/66),0.00% (0/5),0.00% (0/45)
src/openssl/crypto/dsa/dsa_err.c,100.00% (8/8),100.00% (1/1),100.00% (3/3)
src/openssl/crypto/dsa/dsa_gen.c,0.00% (0/467),0.00% (0/4),0.00% (0/503)
src/openssl/crypto/dsa/dsa_key.c,0.00% (0/49),0.00% (0/2),0.00% (0/48)
src/openssl/crypto/dsa/dsa_lib.c,4.12% (7/170),8.33% (1/12),2.48% (3/121)
src/openssl/crypto/dsa/dsa_ossl.c,1.35% (3/222),16.67% (1/6),0.40% (1/248)
src/openssl/crypto/dsa/dsa_pmeth.c,0.00% (0/142),0.00% (0/8),0.00% (0/132)
